focusing parameter	cooperativity
6E-4	5.29546600489168E-4
0.0012	0.00211817931341238
0.0018	0.00476588750597986
0.0024	0.00847257548347521
0.003	0.0132384877990666
0.0036	0.0190630821840404
0.0042	0.0259468902743265
0.0048	0.0338894513217509
0.0054	0.0428906590044652
0.006	0.0529507614180505
0.0066	0.0640693687092054
0.0072	0.0762467998535573
0.0078	0.089482594122503
0.0084	0.103776645204869
0.009	0.11912884679304
0.0096	0.135539092582958
0.0102	0.153007276274126
0.0108	0.171532653674687
0.0114	0.191116358851149
0.012	0.2117576830499
0.0126	0.23345577580468
0.0132	0.256211204161195
0.0138	0.280023046815841
0.0144	0.304891941680136
0.015	0.330817782489166
0.0156	0.357799541693385
0.0162	0.385837006784311
0.0168	0.414929965267697
0.0174	0.445079232191721
0.018	0.476282575442803
0.0186	0.508541873030817
0.0192	0.541855884983136
0.0198	0.57622439886956
0.0204	0.611648406827485
0.021	0.648120362948377
0.0216	0.68564845132865
0.0222	0.724232671968305
0.0228	0.763873024867341
0.0234	0.804555694886911
0.024	0.846293789421028
0.0246	0.889087308469691
0.0252	0.932936252032901
0.0258	0.977825389837969
0.0264	1.02376924464997
0.027	1.0707678164689
0.0276	1.11882110529476
0.0282	1.16791246619547
0.0288	1.21805783683271
0.0294	1.26923986524122
0.03	1.32149290177565
0.0306	1.37478188904816
0.0312	1.42910576668692
0.0318	1.48450100590888
0.0324	1.54093042870112
0.033	1.59839297504764
0.0336	1.65692723631602
0.0342	1.71647373578667
0.0348	1.77709195017919
0.0354	1.83874116880559
0.036	1.90144157045915
0.0366	1.96517156394079
0.0372	2.02995203436528
0.0378	2.09578298173262
0.0384	2.16264175601382
0.039	2.23055030139079
0.0396	2.29950861786354
0.0402	2.36949299692898
0.0408	2.44050238035024
0.0414	2.51256012388478
0.042	2.58566622753259
0.0426	2.65979557240115
0.0432	2.73497257224757
0.0438	2.81117140328112
0.0444	2.88841718439433
0.045	2.9666833871355
0.0456	3.04599583529534
0.0462	3.12635452887387
0.0468	3.20773188272442
0.0474	3.29012684038927
0.048	3.37356663486251
0.0486	3.45805126614413
0.0492	3.54352274802493
