lw	uf
9.7438662	0.00002
9.7438662	0.00004
9.7438662	0.00006
9.7438662	0.00008
9.7438662	0.0001
9.7438662	0.00012
9.7438662	0.00014
9.7438662	0.00016
9.7438662	0.00018
9.7438662	0.0002
9.7438662	0.00022
9.7438662	0.00024
9.7438662	0.00026
9.7438662	0.00028
9.7438662	0.0003
9.7438662	0.00032
9.7438662	0.00034
9.7438662	0.00036
9.7438662	0.00038
9.7438662	0.0004
9.7438662	0.00042
9.7438662	0.00044
9.7438662	0.00046
9.7438662	0.00048
9.7438662	0.0005
9.7438662	0.00052
9.7438662	0.00054
9.7438662	0.00056
9.7438662	0.00058
9.7438662	0.0006
9.7438662	0.00062
9.7438662	0.00064
9.7438662	0.00066
9.7438662	0.00068
9.7438662	0.0007
9.7438662	0.00072
9.7438662	0.00074
9.7438662	0.00076
9.7438662	0.00078
9.7438662	0.0008
9.7438662	0.00082
9.7438662	0.00084
9.7438662	0.00086
9.7438662	0.00088
9.7438662	0.0009
9.7438662	0.00092
9.7438662	0.00094
9.7438662	0.00096
9.7438662	0.00098
9.7438662	0.001
9.7438662	0.00102
9.7438662	0.00104
9.7438662	0.00106
9.7438662	0.00108
9.7438662	0.0011
9.7438662	0.00112
9.7438662	0.00114
9.7438662	0.00116
9.7438662	0.00118
9.7438662	0.0012
9.7438662	0.00122
9.7438662	0.00124
9.7438662	0.00126
9.7438662	0.00128
9.7438662	0.0013
9.7438662	0.00132
9.7438662	0.00134
9.7438662	0.00136
9.7438662	0.00138
9.7438662	0.0014
9.7438662	0.00142
9.7438662	0.00144
9.7438662	0.00146
9.7438662	0.00148
9.7438662	0.0015
9.7438662	0.00152
9.7438662	0.00154
9.7438662	0.00156
9.7438662	0.00158
9.7438662	0.0016
9.7438662	0.00162
9.7438662	0.00164
9.7438662	0.00166
9.7438662	0.00168
9.7438662	0.0017
9.7438662	0.00172
9.7438662	0.00174
9.7438662	0.00176
9.7438662	0.00178
9.7438662	0.0018
9.7438662	0.00182
9.7438662	0.00184
9.7438662	0.00186
9.7438662	0.00188
9.7438662	0.0019
9.7438662	0.00192
9.7438662	0.00194
9.7438662	0.00196
9.7438662	0.00198
9.7438662	0.002
9.7438662	0.00202
9.7438662	0.00204
9.7438662	0.00206
9.7438662	0.00208
9.7438662	0.0021
9.7438662	0.00212
9.7438662	0.00214
9.7438662	0.00216
9.7438662	0.00218
9.7438662	0.0022
9.7438662	0.00222
9.7438662	0.00224
9.7438662	0.00226
9.7438662	0.00228
9.7438662	0.0023
9.7438662	0.00232
9.7438662	0.00234
9.7438662	0.00236
9.7438662	0.00238
9.7438662	0.0024
9.7438662	0.00242
9.7438662	0.00244
9.7438662	0.00246
9.7438662	0.00248
9.7438662	0.0025
9.7438662	0.00252
9.7438662	0.00254
9.7438662	0.00256
9.7438662	0.00258
9.7438662	0.0026
9.7438662	0.00262
9.7438662	0.00264
9.7438662	0.00266
9.7438662	0.00268
9.7438662	0.0027
9.7438662	0.00272
9.7438662	0.00274
9.7438662	0.00276
9.7438662	0.00278
9.7438662	0.0028
9.7438662	0.00282
9.7438662	0.00284
9.7438662	0.00286
9.7438662	0.00288
9.7438662	0.0029
9.7438662	0.00292
9.7438662	0.00294
9.7438662	0.00296
9.7438662	0.00298
9.7438662	0.003
9.7438662	0.00302
9.7438662	0.00304
9.7438662	0.00306
9.7438662	0.00308
9.7438662	0.0031
9.7438662	0.00312
9.7438662	0.00314
9.7438662	0.00316
9.7438662	0.00318
9.7438662	0.0032
9.7438662	0.00322
9.7438662	0.00324
9.7438662	0.00326
9.7438662	0.00328
9.7438662	0.0033
9.7438662	0.00332
9.7438662	0.00334
9.7438662	0.00336
9.7438662	0.00338
9.7438662	0.0034
9.7438662	0.00342
9.7438662	0.00344
9.7438662	0.00346
9.7438662	0.00348
9.7438662	0.0035
9.7438662	0.00352
9.7438662	0.00354
9.7438662	0.00356
9.7438662	0.00358
9.7438662	0.0036
9.7438662	0.00362
9.7438662	0.00364
9.7438662	0.00366
9.7438662	0.00368
9.7438662	0.0037
9.7438662	0.00372
9.7438662	0.00374
9.7438662	0.00376
9.7438662	0.00378
9.7438662	0.0038
9.7438662	0.00382
9.7438662	0.00384
9.7438662	0.00386
9.7438662	0.00388
9.7438662	0.0039
9.7438662	0.00392
9.7438662	0.00394
9.7438662	0.00396
9.7438662	0.00398
9.7438662	0.004
9.7438662	0.00402
9.7438662	0.00404
9.7438662	0.00406
9.7438662	0.00408
9.7438662	0.0041
9.7438662	0.00412
9.7438662	0.00414
9.7438662	0.00416
9.7438662	0.00418
9.7438662	0.0042
9.7438662	0.00422
9.7438662	0.00424
9.7438662	0.00426
9.7438662	0.00428
9.7438662	0.0043
9.7438662	0.00432
9.7438662	0.00434
9.7438662	0.00436
9.7438662	0.00438
9.7438662	0.0044
9.7438662	0.00442
9.7438662	0.00444
9.7438662	0.00446
9.7438662	0.00448
9.7438662	0.0045
9.7438662	0.00452
9.7438662	0.00454
9.7438662	0.00456
9.7438662	0.00458
9.7438662	0.0046
9.7438662	0.00462
9.7438662	0.00464
9.7438662	0.00466
9.7438662	0.00468
9.7438662	0.0047
9.7438662	0.00472
9.7438662	0.00474
9.7438662	0.00476
9.7438662	0.00478
9.7438662	0.0048
9.7438662	0.00482
9.7438662	0.00484
9.7438662	0.00486
9.7438662	0.00488
9.7438662	0.0049
9.7438662	0.00492
9.7438662	0.00494
9.7438662	0.00496
9.7438662	0.00498
9.7438662	0.005
9.7438662	0.00502
9.7438662	0.00504
9.7438662	0.00506
9.7438662	0.00508
9.7438662	0.0051
9.7438662	0.00512
9.7438662	0.00514
9.7438662	0.00516
9.7438662	0.00518
9.7438662	0.0052
9.7438662	0.00522
9.7438662	0.00524
9.7438662	0.00526
9.7438662	0.00528
9.7438662	0.0053
9.7438662	0.00532
9.7438662	0.00534
9.7438662	0.00536
9.7438662	0.00538
9.7438662	0.0054
9.7438662	0.00542
9.7438662	0.00544
9.7438662	0.00546
9.7438662	0.00548
9.7438662	0.0055
9.7438662	0.00552
9.7438662	0.00554
9.7438662	0.00556
9.7438662	0.00558
9.7438662	0.0056
9.7438662	0.00562
9.7438662	0.00564
9.7438662	0.00566
9.7438662	0.00568
9.7438662	0.0057
9.7438662	0.00572
9.7438662	0.00574
9.7438662	0.00576
9.7438662	0.00578
9.7438662	0.0058
9.7438662	0.00582
9.7438662	0.00584
9.7438662	0.00586
9.7438662	0.00588
9.7438662	0.0059
9.7438662	0.00592
9.7438662	0.00594
9.7438662	0.00596
9.7438662	0.00598
9.7438662	0.006
9.7438662	0.00602
9.7438662	0.00604
9.7438662	0.00606
9.7438662	0.00608
9.7438662	0.0061
9.7438662	0.00612
9.7438662	0.00614
9.7438662	0.00616
9.7438662	0.00618
9.7438662	0.0062
9.7438662	0.00622
9.7438662	0.00624
9.7438662	0.00626
9.7438662	0.00628
9.7438662	0.0063
9.7438662	0.00632
9.7438662	0.00634
9.7438662	0.00636
9.7438662	0.00638
9.7438662	0.0064
9.7438662	0.00642
9.7438662	0.00644
9.7438662	0.00646
9.7438662	0.00648
9.7438662	0.0065
9.7438662	0.00652
9.7438662	0.00654
9.7438662	0.00656
9.7438662	0.00658
9.7438662	0.0066
9.7438662	0.00662
9.7438662	0.00664
9.7438662	0.00666
9.7438662	0.00668
9.7438662	0.0067
9.7438662	0.00672
9.7438662	0.00674
9.7438662	0.00676
9.7438662	0.00678
9.7438662	0.0068
9.7438662	0.00682
9.7438662	0.00684
9.7438662	0.00686
9.7438662	0.00688
9.7438662	0.0069
9.7438662	0.00692
9.7438662	0.00694
9.7438662	0.00696
9.7438662	0.00698
9.7438662	0.007
9.7438662	0.00702
9.7438662	0.00704
9.7438662	0.00706
9.7438662	0.00708
9.7438662	0.0071
9.7438662	0.00712
9.7438662	0.00714
9.7438662	0.00716
9.7438662	0.00718
9.7438662	0.0072
9.7438662	0.00722
9.7438662	0.00724
9.7438662	0.00726
9.7438662	0.00728
9.7438662	0.0073
9.7438662	0.00732
9.7438662	0.00734
9.7438662	0.00736
9.7438662	0.00738
9.7438662	0.0074
9.7438662	0.00742
9.7438662	0.00744
9.7438662	0.00746
9.7438662	0.00748
9.7438662	0.0075
9.7438662	0.00752
9.7438662	0.00754
9.7438662	0.00756
9.7438662	0.00758
9.7438662	0.0076
9.7438662	0.00762
9.7438662	0.00764
9.7438662	0.00766
9.7438662	0.00768
9.7438662	0.0077
9.7438662	0.00772
9.7438662	0.00774
9.7438662	0.00776
9.7438662	0.00778
9.7438662	0.0078
9.7438662	0.00782
9.7438662	0.00784
9.7438662	0.00786
9.7438662	0.00788
9.7438662	0.0079
9.7438662	0.00792
9.7438662	0.00794
9.7438662	0.00796
9.7438662	0.00798
9.7438662	0.008
9.7438662	0.00802
9.7438662	0.00804
9.7438662	0.00806
9.7438662	0.00808
9.7438662	0.0081
9.7438662	0.00812
9.7438662	0.00814
9.7438662	0.00816
9.7438662	0.00818
9.7438662	0.0082
9.7438662	0.00822
9.7438662	0.00824
9.7438662	0.00826
9.7438662	0.00828
9.7438662	0.0083
9.7438662	0.00832
9.7438662	0.00834
9.7438662	0.00836
9.7438662	0.00838
9.7438662	0.0084
9.7438662	0.00842
9.7438662	0.00844
9.7438662	0.00846
9.7438662	0.00848
9.7438662	0.0085
9.7438662	0.00852
9.7438662	0.00854
9.7438662	0.00856
9.7438662	0.00858
9.7438662	0.0086
9.7438662	0.00862
9.7438662	0.00864
9.7438662	0.00866
9.7438662	0.00868
9.7438662	0.0087
9.7438662	0.00872
9.7438662	0.00874
9.7438662	0.00876
9.7438662	0.00878
9.7438662	0.0088
9.7438662	0.00882
9.7438662	0.00884
9.7438662	0.00886
9.7438662	0.00888
9.7438662	0.0089
9.7438662	0.00892
9.7438662	0.00894
9.7438662	0.00896
9.7438662	0.00898
9.7438662	0.009
9.7438662	0.00902
9.7438662	0.00904
9.7438662	0.00906
9.7438662	0.00908
9.7438662	0.0091
9.7438662	0.00912
9.7438662	0.00914
9.7438662	0.00916
9.7438662	0.00918
9.7438662	0.0092
9.7438662	0.00922
9.7438662	0.00924
9.7438662	0.00926
9.7438662	0.00928
9.7438662	0.0093
9.7438662	0.00932
9.7438662	0.00934
9.7438662	0.00936
9.7438662	0.00938
9.7438662	0.0094
9.7438662	0.00942
9.7438662	0.00944
9.7438662	0.00946
9.7438662	0.00948
9.7438662	0.0095
9.7438662	0.00952
9.7438662	0.00954
9.7438662	0.00956
9.7438662	0.00958
9.7438662	0.0096
9.7438662	0.00962
9.7438662	0.00964
9.7438662	0.00966
9.7438662	0.00968
9.7438662	0.0097
9.7438662	0.00972
9.7438662	0.00974
9.7438662	0.00976
9.7438662	0.00978
9.7438662	0.0098
9.7438662	0.00982
9.7438662	0.00984
9.7438662	0.00986
9.7438662	0.00988
9.7438662	0.0099
9.7438662	0.00992
9.7438662	0.00994
9.7438662	0.00996
9.7438662	0.00998
9.7438662	0.01
9.7438662	0.01002
9.7438662	0.01004
9.7438662	0.01006
9.7438662	0.01008
9.7438662	0.0101
9.7438662	0.01012
9.7438662	0.01014
9.7438662	0.01016
9.7438662	0.01018
9.7438662	0.0102
9.7438662	0.01022
9.7438662	0.01024
9.7438662	0.01026
9.7438662	0.01028
9.7438662	0.0103
9.7438662	0.01032
9.7438662	0.01034
9.7438662	0.01036
9.7438662	0.01038
9.7438662	0.0104
9.7438662	0.01042
9.7438662	0.01044
9.7438662	0.01046
9.7438662	0.01048
9.7438662	0.0105
9.7438662	0.01052
9.7438662	0.01054
9.7438662	0.01056
9.7438662	0.01058
9.7438662	0.0106
9.7438662	0.01062
9.7438662	0.01064
9.7438662	0.01066
9.7438662	0.01068
9.7438662	0.0107
9.7438662	0.01072
9.7438662	0.01074
9.7438662	0.01076
9.7438662	0.01078
9.7438662	0.0108
9.7438662	0.01082
9.7438662	0.01084
9.7438662	0.01086
9.7438662	0.01088
9.7438662	0.0109
9.7438662	0.01092
9.7438662	0.01094
9.7438662	0.01096
9.7438662	0.01098
9.7438662	0.011
9.7438662	0.01102
9.7438662	0.01104
9.7438662	0.01106
9.7438662	0.01108
9.7438662	0.0111
9.7438662	0.01112
9.7438662	0.01114
9.7438662	0.01116
9.7438662	0.01118
9.7438662	0.0112
9.7438662	0.01122
9.7438662	0.01124
9.7438662	0.01126
9.7438662	0.01128
9.7438662	0.0113
9.7438662	0.01132
9.7438662	0.01134
9.7438662	0.01136
9.7438662	0.01138
9.7438662	0.0114
9.7438662	0.01142
9.7438662	0.01144
9.7438662	0.01146
9.7438662	0.01148
9.7438662	0.0115
9.7438662	0.01152
9.7438662	0.01154
9.7438662	0.01156
9.7438662	0.01158
9.7438662	0.0116
9.7438662	0.01162
9.7438662	0.01164
9.7438662	0.01166
9.7438662	0.01168
9.7438662	0.0117
9.7438662	0.01172
9.7438662	0.01174
9.7438662	0.01176
9.7438662	0.01178
9.7438662	0.0118
9.7438662	0.01182
9.7438662	0.01184
9.7438662	0.01186
9.7438662	0.01188
