#time(ms) normalised_countrate(ms-1) normalised_countrate_stderr(ms-1)
5.000000000000000000e-01 6.108519687199891468e-01 2.568665771621496396e-02
1.000000000000000000e+00 6.732747976402800871e-01 2.789940035178845035e-02
1.500000000000000000e+00 6.518726848676088537e-01 2.575627465561083212e-02
2.000000000000000000e+00 6.893263822197833735e-01 2.928535905751919119e-02
2.500000000000000000e+00 7.018109480038414727e-01 2.825256009366610560e-02
3.000000000000000000e+00 7.267800795719578932e-01 2.927985170268768839e-02
3.500000000000000000e+00 7.151872684867609520e-01 2.587733129975461344e-02
4.000000000000000000e+00 7.562079846343806588e-01 2.905123715086688208e-02
4.500000000000000000e+00 7.508574564412129337e-01 2.873346269587544188e-02
5.000000000000000000e+00 7.303470983674030803e-01 2.684705441117721247e-02
5.500000000000000000e+00 7.562079846343806588e-01 3.025797018738395766e-02
6.000000000000000000e+00 8.498422280148170138e-01 2.943990228279788623e-02
6.500000000000000000e+00 8.275483605432845113e-01 2.897495133440268142e-02
7.000000000000000000e+00 7.990122101797230147e-01 3.005493944169804893e-02
7.500000000000000000e+00 7.883111537933874535e-01 2.804809854531737159e-02
8.000000000000000000e+00 8.230895870489780553e-01 3.362109816743683727e-02
8.500000000000000000e+00 8.658938125943203001e-01 2.689651464530826847e-02
9.000000000000000000e+00 8.462752092193718267e-01 3.093104757636351912e-02
9.500000000000000000e+00 9.033475099464949309e-01 3.014860300673515361e-02
1.000000000000000000e+01 8.614350391000138440e-01 3.235525896053637052e-02
1.050000000000000000e+01 8.926464535601592587e-01 3.212793057353185294e-02
1.100000000000000000e+01 9.372341885032242637e-01 3.334873435399712122e-02
1.150000000000000000e+01 9.399094525998081817e-01 3.131769174722822541e-02
1.200000000000000000e+01 8.872959253669915336e-01 3.217428525768201153e-02
1.250000000000000000e+01 9.024557552476335509e-01 2.960509892992911618e-02
1.300000000000000000e+01 9.318836603100564275e-01 3.050871950492610798e-02
1.350000000000000000e+01 9.630950747702018422e-01 3.174642523866911398e-02
1.400000000000000000e+01 9.202908492248594863e-01 2.933696392310293499e-02
1.450000000000000000e+01 9.390176979009468017e-01 3.069878870897550446e-02
1.500000000000000000e+01 9.550692824804500880e-01 3.039476612482437320e-02
1.550000000000000000e+01 9.827136781451504266e-01 3.451061115613939662e-02
1.600000000000000000e+01 9.309919056111951585e-01 3.122504170192063125e-02
1.650000000000000000e+01 9.497187542872823629e-01 3.352519315535442551e-02
1.700000000000000000e+01 9.568527918781727371e-01 3.005290405791847738e-02
1.750000000000000000e+01 9.318836603100564275e-01 3.097434612346387783e-02
1.800000000000000000e+01 9.247496227191660534e-01 3.511902851425589833e-02
1.850000000000000000e+01 9.408012072986693397e-01 2.932786378027043769e-02
1.900000000000000000e+01 9.604198106736180351e-01 3.132088781055161752e-02
1.950000000000000000e+01 1.012141583207573303e+00 2.879185192094244755e-02
2.000000000000000000e+01 9.853889422417343447e-01 3.021935025357894156e-02
2.050000000000000000e+01 9.934147345314859878e-01 3.244451028206376403e-02
2.100000000000000000e+01 1.005007545616682929e+00 3.191658487895365770e-02
2.150000000000000000e+01 8.971052270544658258e-01 3.231088506958432888e-02
2.200000000000000000e+01 9.568527918781727371e-01 3.157552473960670292e-02
2.250000000000000000e+01 9.737961311565375144e-01 3.335557055407296217e-02
2.300000000000000000e+01 9.613115653724791931e-01 3.202303989013384478e-02
2.350000000000000000e+01 1.041569488269996180e+00 3.369808772651251144e-02
2.400000000000000000e+01 9.586363012758953861e-01 3.099032074796519848e-02
2.450000000000000000e+01 1.047811771162025174e+00 3.071418242915360461e-02
2.500000000000000000e+01 9.898477157360408007e-01 3.237347246601124384e-02
2.550000000000000000e+01 9.256413774180273224e-01 2.954154075831469731e-02
2.600000000000000000e+01 9.720126217588148654e-01 2.924640551001869010e-02
2.650000000000000000e+01 9.934147345314859878e-01 3.013162847951702389e-02
2.700000000000000000e+01 1.059404582247222226e+00 3.281925701979617610e-02
2.750000000000000000e+01 1.021059130196186215e+00 3.072341495906881145e-02
2.800000000000000000e+01 9.434764713952532578e-01 3.178301470122665839e-02
2.850000000000000000e+01 9.657703388667857602e-01 3.166644693483357254e-02
2.900000000000000000e+01 9.720126217588148654e-01 3.359925790293924464e-02
2.950000000000000000e+01 1.041569488269996180e+00 3.150270395845913840e-02
3.000000000000000000e+01 9.755796405542599414e-01 3.150958769283226241e-02
3.050000000000000000e+01 1.016600356701879759e+00 3.042292890565168745e-02
3.100000000000000000e+01 1.053162299355193010e+00 3.302415291481460013e-02
3.150000000000000000e+01 1.005899300315544087e+00 3.225403878724941720e-02
3.200000000000000000e+01 1.030868431883660508e+00 3.161635775596260967e-02
3.250000000000000000e+01 1.030868431883660508e+00 3.194166503596030521e-02
3.300000000000000000e+01 9.951982439292086369e-01 3.120526689425514449e-02
3.350000000000000000e+01 9.675538482645084093e-01 2.893269697483002306e-02
3.400000000000000000e+01 9.969817533269311749e-01 3.216840813912760083e-02
3.450000000000000000e+01 1.045136507065441256e+00 3.308539105509800127e-02
3.500000000000000000e+01 1.002332281520099011e+00 2.779075648114185185e-02
3.550000000000000000e+01 9.844971875428729646e-01 3.030406563395456054e-02
3.600000000000000000e+01 1.030868431883660508e+00 3.164150013256166599e-02
3.650000000000000000e+01 1.026409658389353829e+00 3.240712330561881793e-02
3.700000000000000000e+01 1.065646865139251220e+00 2.918111328822057746e-02
3.750000000000000000e+01 9.907394704349020698e-01 3.261170971501797106e-02
3.800000000000000000e+01 1.018383866099602297e+00 3.119831601326789050e-02
3.850000000000000000e+01 9.934147345314859878e-01 2.833628670731934418e-02
3.900000000000000000e+01 1.047811771162025174e+00 3.515685329055619202e-02
3.950000000000000000e+01 1.002332281520099011e+00 2.770477913892259794e-02
